City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
322,Sioux Lookout,50.1001,-91.917,21.58,93,90,6.91,CA,2021-12-03 17:12:32
323,Henderson,36.0397,-114.9819,65.64,30,1,0.0,US,2021-12-03 17:12:32
324,Labuhan,-6.8844,112.2051,79.99,82,90,4.99,ID,2021-12-03 17:12:32
325,Berdigestyakh,62.0989,126.6992,-33.32,100,48,3.44,RU,2021-12-03 17:12:32
326,Birsk,55.4211,55.5428,32.77,96,100,14.45,RU,2021-12-03 17:12:33
327,Cayenne,4.9333,-52.3333,78.84,83,98,11.5,GF,2021-12-03 17:12:33
328,Olesno,50.877,18.4209,31.66,56,20,12.15,PL,2021-12-03 17:12:33
329,Sidney,-33.8679,151.2073,65.71,90,90,1.01,AU,2021-12-03 17:09:36
330,Balfour,-26.6633,28.5902,78.82,58,92,1.25,ZA,2021-12-03 17:09:26
331,Zhangjiakou,40.81,114.8794,28.69,48,0,3.71,CN,2021-12-03 17:12:34
332,Key West,24.5557,-81.7826,78.8,61,1,11.5,US,2021-12-03 17:08:55
333,Abu Dhabi,24.4667,54.3667,77.11,63,0,5.75,AE,2021-12-03 17:10:20
334,Santa Rosa,14.3122,121.1114,77.11,75,61,13.09,PH,2021-12-03 17:12:34
335,Tura,25.5198,90.2201,63.77,81,67,3.02,IN,2021-12-03 17:12:35
336,West Bay,19.3667,-81.4167,83.07,76,40,4.0,KY,2021-12-03 17:12:35
337,The Valley,18.217,-63.0578,87.66,70,40,11.5,AI,2021-12-03 17:12:35
338,Bedesa,8.9,40.7833,62.37,45,2,5.48,ET,2021-12-03 17:12:36
339,San Rafael,-34.6177,-68.3301,65.52,66,95,18.57,AR,2021-12-03 17:10:25
340,Rock Sound,24.9,-76.2,75.54,62,27,11.36,BS,2021-12-03 17:12:36
341,Salalah,17.0151,54.0924,78.89,61,0,3.44,OM,2021-12-03 17:12:37
342,Birao,10.2849,22.7882,82.31,24,15,6.11,CF,2021-12-03 17:12:37
343,Byron Bay,-28.65,153.6167,68.88,92,39,4.97,AU,2021-12-03 17:12:37
344,Batemans Bay,-35.7167,150.1833,64.09,89,100,1.77,AU,2021-12-03 17:12:38
345,Alofi,-19.0595,-169.9187,78.98,80,85,13.47,NU,2021-12-03 17:12:38
346,Ulvik,60.5672,6.9187,25.29,91,100,6.62,NO,2021-12-03 17:12:38
347,Bako,5.7833,36.5667,74.21,37,90,3.44,ET,2021-12-03 17:12:38
348,Morgantown,39.6295,-79.9559,47.62,67,90,0.0,US,2021-12-03 17:07:42
349,Antofagasta,-23.65,-70.4,72.21,57,5,9.91,CL,2021-12-03 17:12:39
350,Mehamn,71.0357,27.8492,24.98,73,0,6.91,NO,2021-12-03 17:12:39
351,Kerman,30.2832,57.0788,50.43,50,30,6.15,IR,2021-12-03 17:12:39
352,Sumenep,-7.0167,113.8667,78.69,88,67,2.44,ID,2021-12-03 17:12:40
353,Pokhara,28.2333,83.9833,60.87,79,60,4.41,NP,2021-12-03 17:12:40
354,Consett,54.854,-1.8316,41.83,89,100,5.28,GB,2021-12-03 17:12:40
355,Ixtapa,20.7,-105.2,79.83,69,1,0.0,MX,2021-12-03 17:12:41
356,Hudson Bay,52.85,-102.3842,20.23,82,99,14.12,CA,2021-12-03 17:12:41
357,Knysna,-34.0363,23.0471,64.26,68,98,6.29,ZA,2021-12-03 17:12:41
358,Te Anau,-45.4167,167.7167,56.44,98,100,1.01,NZ,2021-12-03 17:12:42
359,Flinders,-34.5833,150.8552,65.17,88,100,6.67,AU,2021-12-03 17:12:42
360,Richards Bay,-28.783,32.0377,70.47,79,99,6.29,ZA,2021-12-03 17:12:42
361,Husavik,66.0449,-17.3389,23.34,80,100,11.54,IS,2021-12-03 17:12:43
362,Luena,-11.7833,19.9167,71.76,63,67,3.76,AO,2021-12-03 17:13:43
363,Ubinskoye,55.3068,79.6802,20.93,89,9,14.29,RU,2021-12-03 17:13:43
364,Volovo,48.5246,23.5056,31.1,95,69,4.25,UA,2021-12-03 17:13:44
365,Nizhniy Tsasuchey,50.5167,115.1333,12.07,96,75,3.4,RU,2021-12-03 17:13:44
366,Ribeira Brava,32.65,-17.0667,67.12,51,72,10.74,PT,2021-12-03 17:13:44
367,Gavrilov Posad,56.5597,40.1175,31.89,98,100,7.74,RU,2021-12-03 17:13:45
368,Narrabri,-30.3167,149.7833,74.48,57,21,3.78,AU,2021-12-03 17:13:45
369,Mahebourg,-20.4081,57.7,75.25,80,22,10.07,MU,2021-12-03 17:13:45
370,Tinskoy,56.1525,96.9161,29.39,65,78,6.98,RU,2021-12-03 17:13:45
371,Bonavista,48.6499,-53.1147,50.11,95,100,36.37,CA,2021-12-03 17:13:46
372,Xuanhua,40.6103,115.0447,32.38,42,0,4.34,CN,2021-12-03 17:13:46
373,Brae,60.3964,-1.353,44.51,75,72,13.62,GB,2021-12-03 17:13:46
374,Port Blair,11.6667,92.75,79.7,83,10,7.72,IN,2021-12-03 17:13:47
375,Indramayu,-6.3264,108.32,82.53,79,99,12.64,ID,2021-12-03 17:13:47
376,Zeya,53.75,127.2667,-3.77,60,4,3.04,RU,2021-12-03 17:13:47
377,Sitia,35.2,26.0986,64.98,66,100,18.1,GR,2021-12-03 17:13:48
378,Padang,-0.9492,100.3543,78.85,79,100,4.12,ID,2021-12-03 17:13:48
379,Rabo De Peixe,37.8,-25.5833,64.27,98,75,5.75,PT,2021-12-03 17:13:48
380,Payson,40.0444,-111.7321,58.03,81,40,0.0,US,2021-12-03 17:13:49
381,Lebu,-37.6167,-73.65,58.08,63,0,17.69,CL,2021-12-03 17:13:49
382,Kamenka,51.3223,42.7678,42.75,90,100,17.67,RU,2021-12-03 17:12:04
383,Burnie,-41.0667,145.9167,53.6,72,69,13.38,AU,2021-12-03 17:13:49
384,Madinat Sittah Uktubar,29.8167,31.05,65.8,43,100,9.37,EG,2021-12-03 17:13:50
385,Margate,51.3813,1.3862,47.97,89,100,1.01,GB,2021-12-03 17:13:50
386,Beringovskiy,63.05,179.3167,28.45,80,80,17.63,RU,2021-12-03 17:13:50
387,Kuytun,54.3419,101.5036,7.36,94,30,4.45,RU,2021-12-03 17:13:51
388,Tessalit,20.1986,1.0114,79.3,12,9,10.18,ML,2021-12-03 17:13:51
389,Qeshm,26.9581,56.2719,76.87,66,0,23.13,IR,2021-12-03 17:13:51
390,Amapa,1.0,-52.0,85.73,58,99,2.98,BR,2021-12-03 17:13:51
391,Dwarka,22.2394,68.9678,75.13,53,0,11.83,IN,2021-12-03 17:13:52
392,Whitehorse,60.7161,-135.0538,0.1,100,99,2.68,CA,2021-12-03 17:12:48
393,Bambanglipuro,-7.95,110.2833,78.78,86,91,4.05,ID,2021-12-03 17:13:52
394,Gamba,-2.65,10.0,77.07,87,100,5.7,GA,2021-12-03 17:13:53
395,Pandharpur,17.6667,75.3333,74.14,79,13,4.79,IN,2021-12-03 17:13:53
396,Vikhorevka,56.1201,101.1636,31.59,87,80,4.56,RU,2021-12-03 17:13:53
397,Heihe,50.2441,127.4902,-1.61,81,0,8.39,CN,2021-12-03 17:13:54
398,Kununurra,-15.7667,128.7333,84.18,79,86,8.05,AU,2021-12-03 17:13:54
399,Hambantota,6.1241,81.1185,78.35,84,76,4.65,LK,2021-12-03 17:13:54
400,Coahuayana,18.7333,-103.6833,83.68,59,99,3.0,MX,2021-12-03 17:13:55
401,Bolong,7.0983,122.2392,78.44,87,100,8.55,PH,2021-12-03 17:13:55
402,Kuusamo,65.9667,29.1833,15.84,92,20,5.75,FI,2021-12-03 17:13:55
403,Presidencia Roque Saenz Pena,-26.7852,-60.4388,92.19,28,1,7.25,AR,2021-12-03 17:13:56
404,Honningsvag,70.9821,25.9704,24.55,80,40,6.91,NO,2021-12-03 17:13:56
405,Marquette,46.5333,-87.6335,29.82,74,100,4.83,US,2021-12-03 17:13:56
406,Bryan,30.6744,-96.37,71.65,86,90,4.61,US,2021-12-03 17:13:33
407,San Cristobal,7.7669,-72.225,80.78,39,42,6.2,VE,2021-12-03 17:14:57
408,Chizhou,30.6578,117.4831,45.68,43,50,3.22,CN,2021-12-03 17:14:57
409,Berlevag,70.8578,29.0864,24.75,74,75,6.91,NO,2021-12-03 17:14:57
410,Cansilayan,10.5598,123.0184,74.39,85,100,8.25,PH,2021-12-03 17:14:58
411,Oktyabrskoye,43.0645,44.7417,24.94,93,39,4.47,RU,2021-12-03 17:14:58
412,Nadym,65.5333,72.5167,-0.96,95,100,11.81,RU,2021-12-03 17:14:58
413,Tapes,-30.6733,-51.3958,72.97,63,43,15.77,BR,2021-12-03 17:14:59
414,Juli,-16.2167,-69.45,48.6,68,100,8.25,PE,2021-12-03 17:14:59
415,Puerto Carreno,6.189,-67.4859,91.35,43,78,6.6,CO,2021-12-03 17:14:12
416,Batamshinskiy,50.5594,58.2747,31.14,86,100,18.75,KZ,2021-12-03 17:14:59
417,Arroyo,41.6096,-4.7969,49.71,76,0,6.91,ES,2021-12-03 17:15:00
418,San-Pedro,4.7485,-6.6363,82.74,75,75,8.21,CI,2021-12-03 17:15:00
419,Baherden,38.4362,57.4316,43.27,90,100,4.14,TM,2021-12-03 17:15:00
420,Saint-Louis,16.3333,-15.0,93.22,8,100,10.49,SN,2021-12-03 17:15:01
421,Necochea,-38.5473,-58.7368,58.03,87,100,10.45,AR,2021-12-03 17:15:01
422,Poya,-21.35,165.15,75.99,83,99,4.03,NC,2021-12-03 17:15:01
423,Thaba-Tseka,-29.522,28.6084,61.41,50,100,6.51,LS,2021-12-03 17:15:01
424,Ourem,39.6417,-8.5919,54.84,79,0,7.76,PT,2021-12-03 17:15:02
425,Dargaville,-35.9333,173.8833,63.01,92,100,7.2,NZ,2021-12-03 17:15:02
426,Calama,-22.4667,-68.9333,75.69,11,20,18.41,CL,2021-12-03 17:15:02
427,Hays,30.0502,-98.0336,69.93,85,100,9.44,US,2021-12-03 17:15:03
428,Ouallam,14.3188,2.0866,89.78,11,76,7.87,NE,2021-12-03 17:15:03
429,Atambua,-9.1061,124.8925,75.85,85,100,2.42,ID,2021-12-03 17:15:03
430,Inhambane,-23.865,35.3833,80.58,89,40,18.41,MZ,2021-12-03 17:15:04
431,Talakan,50.3167,130.3667,-20.11,100,32,1.32,RU,2021-12-03 17:15:04
432,Pitimbu,-7.4706,-34.8086,86.59,69,87,11.77,BR,2021-12-03 17:15:04
433,Najran,17.4924,44.1277,61.66,22,2,4.52,SA,2021-12-03 17:15:05
434,Anahuac,27.2333,-100.15,76.5,50,21,8.08,MX,2021-12-03 17:15:05
435,Aleksandrov Gay,50.147,48.5704,39.56,74,100,16.22,RU,2021-12-03 17:15:05
436,Torbay,47.6666,-52.7314,49.75,97,90,34.52,CA,2021-12-03 17:15:06
437,Nara,34.6851,135.8049,52.88,75,76,2.77,JP,2021-12-03 17:11:24
438,Acajutla,13.5928,-89.8275,87.39,48,62,1.21,SV,2021-12-03 17:15:06
439,Inverell,-29.7833,151.1167,66.16,91,0,3.0,AU,2021-12-03 17:15:06
440,Faya,18.3851,42.4509,57.72,29,3,5.17,SA,2021-12-03 17:15:07
441,Sembakung,3.8167,117.25,80.53,99,100,4.36,ID,2021-12-03 17:15:07
442,Grandola,38.1772,-8.5668,56.5,64,0,6.22,PT,2021-12-03 17:15:07
443,Moses Lake,47.1301,-119.2781,39.88,80,1,5.75,US,2021-12-03 17:15:08
444,Springfield,37.2153,-93.2982,71.06,69,1,5.01,US,2021-12-03 17:10:24
445,El Alto,-4.2714,-81.2147,74.86,63,100,16.44,PE,2021-12-03 17:15:08
446,Plettenberg Bay,-34.0527,23.3716,62.1,72,95,6.24,ZA,2021-12-03 17:15:08
447,Deputatskiy,69.3,139.9,-27.31,91,100,6.22,RU,2021-12-03 17:15:09
448,Concordia,-31.393,-58.0209,82.47,42,0,12.66,AR,2021-12-03 17:15:09
449,Okhotsk,59.3833,143.3,-11.33,86,96,14.45,RU,2021-12-03 17:15:09
450,Dunedin,-45.8742,170.5036,57.9,98,62,4.41,NZ,2021-12-03 17:15:10
451,San Ramon,37.7799,-121.978,54.21,95,90,0.0,US,2021-12-03 17:15:10
452,Tres Arroyos,-38.3739,-60.2798,58.84,90,100,12.06,AR,2021-12-03 17:15:10
453,Cacu,-18.5567,-51.1308,88.27,50,49,4.16,BR,2021-12-03 17:16:10
454,Fare,-16.7,-151.0167,80.92,69,36,19.3,PF,2021-12-03 17:16:11
455,Dickinson,29.4608,-95.0513,78.08,81,20,5.01,US,2021-12-03 17:16:11
456,Ketchikan,55.3422,-131.6461,32.47,86,90,0.0,US,2021-12-03 17:16:11
457,Namatanai,-3.6667,152.4333,80.64,81,87,5.82,PG,2021-12-03 17:16:12
458,Maceio,-9.6658,-35.7353,90.84,58,40,19.57,BR,2021-12-03 17:16:12
459,Kiunga,-6.1219,141.2906,73.76,99,99,0.72,PG,2021-12-03 17:16:12
460,Mumbwa,-14.9783,27.0619,80.85,34,61,5.68,ZM,2021-12-03 17:16:13
461,Vila Do Maio,15.1333,-23.2167,77.79,69,34,21.03,CV,2021-12-03 17:16:09
