City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
275,Cairns,AU,77.07,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
279,Namwala,ZM,82.62,broken clouds,-15.7504,26.4384,Corner Point Lodge
286,Port Keats,AU,83.26,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
290,Uvalde,US,79.18,overcast clouds,29.3669,-99.767,
296,Gunjur,GM,87.87,overcast clouds,13.2019,-16.7339,Dalaba Eco-Lodge Gambia
297,Comodoro Rivadavia,AR,75.06,clear sky,-45.8667,-67.5,Austral Hotel
298,Buala,SB,79.48,light rain,-8.145,159.5921,Maringe Lagoon Lodge
299,Saint-Georges,GD,83.88,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
301,Belmonte,BR,82.4,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
303,Zuenoula,CI,84.67,scattered clouds,7.4292,-6.0431,Hotel Prestige Zla
304,Reconquista,AR,87.94,broken clouds,-29.15,-59.65,Grand Hotel
305,The Valley,AI,85.86,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
311,Mattru,SL,78.73,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
313,Akyab,MM,76.82,overcast clouds,20.15,92.9,Hotel Memory
322,Sola,VU,79.2,overcast clouds,-13.8833,167.55,Leumerus Bungalows
323,Coahuayana,MX,89.06,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
325,Gourcy,BF,81.79,broken clouds,13.2167,-2.35,Auberge Gourcy
326,Filingue,NE,82.62,clear sky,14.3521,3.3168,
327,Kombissiri,BF,85.98,broken clouds,12.0656,-1.3375,Mitibkieta Annexe
332,Palimbang,PH,77.36,scattered clouds,6.2106,124.1894,Felmar Beach resort
341,Soyo,AO,78.89,overcast clouds,-6.1349,12.3689,Hotel Mpampa
345,Vao,NC,76.64,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
346,Kavaratti,IN,81.28,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
354,Sabang,ID,80.92,overcast clouds,5.8933,95.3214,Hotel Citra
361,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
364,Vanimo,PG,77.88,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
367,Mankono,CI,85.3,few clouds,8.0586,-6.1897,Hôtel cotonputeur
371,Faanui,PF,81.28,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
372,Seminole,US,77.99,broken clouds,28.7086,-81.2081,Ono Hot Dog Cart and Catering
373,Ambilobe,MG,78.94,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
375,Nabire,ID,75.47,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
376,Vila Velha,BR,78.75,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
377,Samarai,PG,80.74,overcast clouds,-10.6167,150.6667,Nuli Sapi
379,Nhamunda,BR,88.74,moderate rain,-2.1861,-56.7131,Pousada Da Praia
381,Kontagora,NG,81.03,overcast clouds,10.3999,5.4695,Queens Guest Inn
382,Kudat,MY,78.73,scattered clouds,6.8837,116.8477,Dream Garden Hotel
384,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
387,Monitos,CO,86.74,overcast clouds,8.25,-76.05,Finca Aleman Gonzalez
389,Cabo San Lucas,MX,85.51,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
404,Axim,GH,80.47,few clouds,4.8699,-2.2405,Axim Beach Resort And Spa
405,Providencia,MX,80.2,scattered clouds,28.7167,-111.5833,
411,Cururupu,BR,84.16,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
416,Balabac,PH,78.28,broken clouds,7.9868,117.0645,Sing and Swing Lodge
422,Dzitbalche,MX,89.49,clear sky,20.3167,-90.05,Lavadero San Mateo
423,Moron,AR,79.95,scattered clouds,-34.6534,-58.6198,Hotel Morón
426,Ilheus,BR,84.02,few clouds,-14.7889,-39.0494,Barravento Hotel
430,Sokoni,TZ,80.78,broken clouds,-6.4333,39.55,Ujamaa Beach Resort
433,Kalmunai,LK,78.55,clear sky,7.4167,81.8167,VS Villa
436,Vangaindrano,MG,75.09,scattered clouds,-23.35,47.6,Hotel Fanilo
438,Nuevitas,CU,80.73,scattered clouds,21.5453,-77.2644,Hotel Caonaba
442,Kathu,TH,76.82,broken clouds,7.9178,98.3332,Novotel Phuket Resort
443,Niquero,CU,84.65,scattered clouds,20.0431,-77.5828,Islazul Niquero
452,Puerto Colombia,CO,84.31,scattered clouds,10.9878,-74.9547,Hotel El Emigrante
453,Eha Amufu,NG,86.05,scattered clouds,6.6592,7.7596,Eden Resort
454,Kloulklubed,PW,77.5,broken clouds,7.0419,134.2556,Storyboard Beach Resort
455,Maua,BR,77.11,scattered clouds,-23.6678,-46.4614,Hotel Capriccio Mauá
457,Kyabe,TD,84.24,scattered clouds,9.4515,18.9449,
458,Kanchipuram,IN,79.75,overcast clouds,12.8333,79.7167,Hotel Adhi Residency
461,Iquitos,PE,80.64,light rain,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
463,Mount Isa,AU,80.37,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
464,Dzilam Gonzalez,MX,83.77,clear sky,21.2833,-88.9333,posadas
465,Camopi,GF,76.68,light rain,3.1655,-52.3158,La pousada
467,Baiao,BR,84.43,overcast clouds,-2.7906,-49.6717,Hotel Eurosono
470,Monte Alegre De Minas,BR,82.87,broken clouds,-18.8706,-48.8808,Hotel Via Hotel
475,Veraval,IN,76.39,few clouds,20.9,70.3667,Lords Inn Somnath
476,Arlit,NE,75.45,few clouds,18.7369,7.3853,Case de Passage De la Prefecture
478,Barra Patuca,HN,79.93,overcast clouds,15.8,-84.2833,
479,Saposoa,PE,87.35,overcast clouds,-6.934,-76.7716,Hostal Primavera
480,Lagos,NG,84.52,broken clouds,6.5833,3.75,
485,Tagusao,PH,78.53,overcast clouds,9.1924,117.8141,Toledo
486,Fare,PF,80.96,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
495,Sao Luis Do Quitunde,BR,85.44,moderate rain,-9.3183,-35.5611,Sao dos satos lins
500,Moussoro,TD,81.88,clear sky,13.6408,16.4901,Hôtel Salama
508,Playa Vicente,MX,81.46,clear sky,17.8333,-95.8167,"Hotel ""Imperio"""
511,Rawson,AR,82.45,clear sky,-43.3002,-65.1023,Hosteria Sampedro
514,Monrovia,LR,83.97,broken clouds,6.3005,-10.7969,Sunset Inn
517,Kudahuvadhoo,MV,82.26,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
518,Atar,MR,78.17,clear sky,20.5169,-13.0499,Oumou Elghoura
519,Bima,ID,77.92,overcast clouds,-8.4667,118.7167,Lambitu Hotel
520,Caravelas,BR,79.03,light rain,-17.7125,-39.2481,Pousada dos Navegantes
525,Touros,BR,83.64,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
529,Sibolga,ID,77.81,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
532,Pemangkat,ID,77.81,broken clouds,1.1667,108.9667,Ramah Kost KITA
536,Edd,ER,83.39,clear sky,13.9297,41.6925,
538,Ruangwa,TZ,75.79,overcast clouds,-10.0667,38.9333,Pivava lodge
540,Jardim,BR,85.66,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
541,Antalaha,MG,76.17,light rain,-14.9003,50.2788,Hotel Vitasoa
545,Sao Jose Da Coroa Grande,BR,81.23,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
548,Pangai,TO,79.2,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
552,San Buenaventura,MX,83.48,scattered clouds,27.0833,-101.5333,Hotel Gran Plaza
